nama_spklu,periode_data,owner_operator,lokasi,jumlah_unit,teknologi
"SPKLU POSKO YANTEK MATRAMAN 1",2025,PLN,"JL. MATRAMAN RAYA, BALI MESTER, KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13310",2,"MEDIUM CHARGING"
"SPKLU PERUM AKASIA FC",2025,PLN,"GRIYA INTI SENTOSA, JL. AKASIA BUKIT GOLF MEDITERANIA",1,"FAST CHARGING"
"SPKLU AMUYA CAFE KEMAYORAN FC",2025,PLN,"JL ANGKASA 1, GN. SAHARI SEL., KOTA JAKARTA PUSAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"FAST CHARGING"
"SPKLU RS HAJI JAKARTA",2025,PLN,"JL. RAYA PD. GEDE NO.4 1, RT.1/RW.1, PINANG RANTI, KEC. MAKASAR, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13650",1,"FAST CHARGING"
"SPKLU RS HAJI JAKARTA",2025,PLN,"JL. RAYA PD. GEDE NO.4 1, RT.1/RW.1, PINANG RANTI, KEC. MAKASAR, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13650",2,"MEDIUM CHARGING"
"SPKLU APARTEMEN SAMESTA EAST POINT",2025,PLN,"PULO GEBANG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU SPBU BP AKR TB SIMATUPANG",2025,PLN,"JL. H. SAIDI NO.9, RT.2/RW.5, TJ. BAR., KEC. JAGAKARSA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12530",1,"FAST CHARGING"
"SPKLU DITJEN IMIGRASI",2025,PLN,"JL. H. R. RASUNA SAID, RT.16/RW.4, KUNINGAN, KARET KUNINGAN, KECAMATAN SETIABUDI, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12940",2,"MEDIUM CHARGING"
"SPKLU MASJID AL MUHAJIRIN",2025,PLN,"JL. KLP. KUNING RAYA, PD. KLP., KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13450",2,"MEDIUM CHARGING"
"SPKLU GEDUNG CYBER-1",2025,PLN,"KUNINGAN BAR., KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU PT SPE",2025,PLN,"PEGADUNGAN, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU GEDUNG PEGADAIAN KENARI BARU",2025,PLN,"JL. SALEMBA RAYA NO. 2, KENARI, KEC. SENEN, KOTA JAKARTA PUSAT, DKI JAKARTA 10430",2,"MEDIUM CHARGING"
"SPKLU APARTEMEN PARAMA",2025,PLN,"JL. R.A. KARTINI NO.6 16, RT.16/RW.6, CILANDAK BAR., KEC. CILANDAK, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12430",2,"MEDIUM CHARGING"
"SPKLU UNIVERSITAS PANCASILA",2025,PLN,"JL LENTENG AGUNG RAYA, SRENGSENG SAWAH, JAGAKARSA",3,"MEDIUM CHARGING"
"SPKLU (ARISTA POWER) BYD ARISTA PLUIT",2025,ARISTA,"JALAN PLUIT PUTRA IV KEC. PENJARINGAN, JAKARTA UTARA",4,"ULTRA FAST CHARGING"
"SPKLU RS EMC KEDOYA",2025,PLN,"KEDOYA UTARA, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU CLUSTER DAMAR",2025,PLN,"JALAN LINGKAR LUAR BUKIT GOLF MEDITERANIAN NO.1, KAMAL MUARA, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",4,"MEDIUM CHARGING"
"SPKLU PANTAI MUTIARA",2025,PLN,"JALAN PANTAI MUTIARA T, PLUIT, KEC. PENJARINGAN, JAKARTA UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14450",1,"MEDIUM CHARGING"
"SPKLU EVCITY APARTEMEN PANTAI MUTIARA",2025,"PT LISTRIK ANUGERAH DIVINA","JL. PANTAI MUTIARA, PLUIT, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",2,"ULTRA FAST CHARGING"
"SPKLU EVCITY APARTEMEN PANTAI MUTIARA",2025,"PT LISTRIK ANUGERAH DIVINA","JL. PANTAI MUTIARA, PLUIT, JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA",1,"STANDART CHARGING"
"SPKLU KADIN JAKSEL",2025,PLN,"JL. GANDARIA 1 NO. 335 KRAMAT PELA, KEBAYORAN BARU, JAKARTA SELATAN",2,"MEDIUM CHARGING"
"SPKLU MENEERS KOFFIE",2025,PLN,"JL. RAYA PKP, KLP. DUA WETAN, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU JOGLO KEMANG",2025,PLN,"JL. MADRASAH NO.14, CILANDAK TIM., PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12560",2,"MEDIUM CHARGING"
"SPKLU JOGLO KEMANG",2025,PLN,"JL. MADRASAH NO.14, CILANDAK TIM., PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12560",1,"FAST CHARGING"
"SPKLU RM SARWONO",2025,PLN,"JL. RAYA PASAR MINGGU, PEJATEN TIMUR, KOTA JAKARTA SELATAN",2,"MEDIUM CHARGING"
"SPKLU AZ-KO",2025,PLN,"JL RAYA CITRA, TEGAL ALUR, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",3,"MEDIUM CHARGING"
"SPKLU PONDOK KOPI WAREHOUSE",2025,PLN,"JL SAWO KECIK, PULO GEBANG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA",2,"MEDIUM CHARGING"
"SPKLU UCI BENY GRAND TROPIC",2025,"PT USAHA CHUNLAN INDONESIA","TJ. DUREN UTARA, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"MEDIUM CHARGING"
"SPKLU UCI BENY GRAND TROPIC",2025,"PT USAHA CHUNLAN INDONESIA","TJ. DUREN UTARA, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",1,"ULTRA FAST CHARGING"
