"Time","ev","SPKLU","kendaraan listrik","Infrastruktur kendaraan listrik"
"2011-06-01",4,0,0,0
"2011-07-01",5,0,0,0
"2011-08-01",5,0,0,0
"2011-09-01",5,0,0,0
"2011-10-01",5,0,0,0
"2011-11-01",6,0,0,0
"2011-12-01",7,0,0,0
"2012-01-01",9,0,1,0
"2012-02-01",8,0,1,0
"2012-03-01",7,0,0,0
"2012-04-01",7,0,1,0
"2012-05-01",6,0,1,0
"2012-06-01",7,0,1,0
"2012-07-01",5,0,0,0
"2012-08-01",6,0,1,0
"2012-09-01",6,0,1,0
"2012-10-01",6,0,0,0
"2012-11-01",6,0,1,0
"2012-12-01",6,0,1,0
"2013-01-01",8,0,1,0
"2013-02-01",6,0,1,0
"2013-03-01",6,0,1,0
"2013-04-01",6,0,1,0
"2013-05-01",5,0,0,0
"2013-06-01",4,0,1,0
"2013-07-01",6,0,1,0
"2013-08-01",4,0,0,0
"2013-09-01",5,0,1,0
"2013-10-01",7,0,1,0
"2013-11-01",6,0,1,0
"2013-12-01",7,0,1,0
"2014-01-01",6,0,1,0
"2014-02-01",5,0,1,0
"2014-03-01",5,0,1,0
"2014-04-01",5,0,1,0
"2014-05-01",5,0,1,0
"2014-06-01",5,0,1,0
"2014-07-01",5,0,1,0
"2014-08-01",4,0,1,0
"2014-09-01",5,0,1,0
"2014-10-01",5,0,1,0
"2014-11-01",5,0,1,0
"2014-12-01",6,0,1,0
"2015-01-01",6,0,1,0
"2015-02-01",6,0,1,0
"2015-03-01",5,0,1,0
"2015-04-01",5,0,1,0
"2015-05-01",5,0,1,0
"2015-06-01",5,0,1,0
"2015-07-01",5,0,1,0
"2015-08-01",5,0,1,0
"2015-09-01",5,0,1,0
"2015-10-01",6,0,1,0
"2015-11-01",7,0,1,0
"2015-12-01",7,0,1,0
"2016-01-01",6,0,1,0
"2016-02-01",6,0,1,0
"2016-03-01",6,0,1,0
"2016-04-01",5,0,1,0
"2016-05-01",5,0,1,0
"2016-06-01",6,0,1,0
"2016-07-01",6,0,1,0
"2016-08-01",6,0,1,0
"2016-09-01",5,0,1,0
"2016-10-01",5,0,1,0
"2016-11-01",6,0,1,0
"2016-12-01",5,0,1,0
"2017-01-01",7,0,2,0
"2017-02-01",5,0,1,0
"2017-03-01",5,0,1,0
"2017-04-01",5,0,1,0
"2017-05-01",5,0,1,0
"2017-06-01",6,0,1,0
"2017-07-01",6,0,1,0
"2017-08-01",5,0,1,0
"2017-09-01",6,0,1,0
"2017-10-01",6,0,1,0
"2017-11-01",7,0,1,0
"2017-12-01",6,0,1,0
"2018-01-01",9,0,1,0
"2018-02-01",8,0,2,0
"2018-03-01",8,0,2,0
"2018-04-01",7,0,1,0
"2018-05-01",7,0,1,0
"2018-06-01",7,0,1,0
"2018-07-01",6,0,1,0
"2018-08-01",6,0,1,0
"2018-09-01",7,0,1,0
"2018-10-01",8,0,1,0
"2018-11-01",7,0,2,0
"2018-12-01",7,0,1,0
"2019-01-01",10,0,2,0
"2019-02-01",12,0,3,0
"2019-03-01",15,0,3,0
"2019-04-01",15,0,2,0
"2019-05-01",13,0,2,0
"2019-06-01",12,0,1,0
"2019-07-01",15,0,1,0
"2019-08-01",13,0,3,0
"2019-09-01",13,0,3,0
"2019-10-01",13,0,3,0
"2019-11-01",13,0,3,0
"2019-12-01",12,0,2,0
"2020-01-01",15,0,2,0
"2020-02-01",14,0,5,0
"2020-03-01",11,0,8,0
"2020-04-01",10,0,6,0
"2020-05-01",10,0,4,0
"2020-06-01",10,0,9,0
"2020-07-01",10,0,2,0
"2020-08-01",13,0,5,0
"2020-09-01",9,0,11,0
"2020-10-01",9,0,9,0
"2020-11-01",9,0,8,0
"2020-12-01",9,1,13,0
"2021-01-01",17,1,3,0
"2021-02-01",13,1,9,0
"2021-03-01",12,0,17,0
"2021-04-01",13,1,9,0
"2021-05-01",12,0,5,0
"2021-06-01",13,1,10,0
"2021-07-01",14,0,2,0
"2021-08-01",12,1,4,0
"2021-09-01",13,1,10,0
"2021-10-01",13,1,8,0
"2021-11-01",18,1,7,0
"2021-12-01",12,1,9,0
"2022-01-01",15,1,3,0
"2022-02-01",15,1,11,0
"2022-03-01",14,1,18,0
"2022-04-01",14,1,8,0
"2022-05-01",12,1,6,0
"2022-06-01",22,1,7,0
"2022-07-01",25,2,3,0
"2022-08-01",44,2,5,0
"2022-09-01",60,2,13,0
"2022-10-01",59,3,11,0
"2022-11-01",47,2,13,0
"2022-12-01",40,2,11,0
"2023-01-01",42,2,6,0
"2023-02-01",42,2,12,0
"2023-03-01",31,2,16,0
"2023-04-01",28,2,8,0
"2023-05-01",31,2,11,0
"2023-06-01",28,2,9,0
"2023-07-01",29,2,4,0
"2023-08-01",37,3,6,0
"2023-09-01",31,3,8,0
"2023-10-01",30,3,8,0
"2023-11-01",40,3,9,0
"2023-12-01",33,3,9,0
"2024-01-01",49,3,5,0
"2024-02-01",44,3,8,0
"2024-03-01",37,4,10,0
"2024-04-01",33,5,6,0
"2024-05-01",48,4,9,0
"2024-06-01",42,4,8,0
"2024-07-01",52,5,5,0
"2024-08-01",48,5,6,0
"2024-09-01",44,5,8,0
"2024-10-01",43,4,9,0
"2024-11-01",44,5,9,0
"2024-12-01",41,6,11,0
"2025-01-01",50,6,6,0
"2025-02-01",54,6,8,0
"2025-03-01",47,7,8,0
"2025-04-01",53,7,8,0
"2025-05-01",55,7,8,0
"2025-06-01",57,7,7,0
"2025-07-01",59,7,4,0
"2025-08-01",57,7,6,0
"2025-09-01",40,6,6,0
"2025-10-01",45,7,6,0
"2025-11-01",88,10,7,0
"2025-12-01",73,10,7,0
"2026-01-01",66,9,5,0
"2026-02-01",76,10,6,0
"2026-03-01",86,14,8,0
"2026-04-01",100,14,19,0
"2026-05-01",83,13,11,0
"2026-06-01",80,13,14,0
